Variant,Time,Mean_RFP,Mean_GFP,Mean_Ratio,Mean_SSC,Mean_FSC,sd_RFP,sd_GFP,sd_Ratio,sd_SSC,sd_FSC,v_RFP,v_GFP,v_Ratio,rv_RFP,rv_GFP,rv_Ratio
57G1,-20,779.8142713,1530.205466,2.876106237,199862.413,2690.21002,515.8576071,1072.564816,3.543881375,37997.55147,613.9211378,266109.0708,1150395.284,12.5590952,341.2467309,751.7913837,4.366700728
57G1,0,764.1517894,1357.047717,2.797803744,196596.2057,2608.065817,609.0673667,1549.364554,4.782260338,30563.34349,527.0971492,370963.0572,2400530.521,22.87001394,485.4572905,1768.935971,8.174273835
57G1,2,746.9397539,1364.227408,2.869698999,195678.2758,2635.54179,469.2129059,844.111714,4.268266848,29015.36258,502.440295,220160.751,712524.5858,18.21810189,294.7503462,522.2916515,6.348436506
57G1,5,775.8946921,1386.225902,2.832412767,196127.9592,2579.92017,613.5411976,871.6942272,4.244531225,29407.25685,565.4225685,376432.8011,759850.8258,18.01604532,485.159655,548.1435778,6.360670849
57G1,10,783.907351,1477.040887,3.028264358,195455.2762,2593.100043,559.7046612,852.6959652,6.299137282,29808.1779,1127.912653,313269.3078,727090.4091,39.6791305,399.6254243,492.2615314,13.10292822
57G1,15,819.1699958,1661.080323,3.041271642,195500.8789,2495.441139,510.3453904,958.8630899,4.760291985,30793.06682,457.1924769,260452.4175,919418.4251,22.66037978,317.9467252,553.5063009,7.450955539
57G1,20,924.244323,2005.111438,3.184011999,195316.1581,2592.724558,1028.611704,1012.106149,4.602700035,29290.16836,653.5888384,1058042.038,1024358.856,21.18484761,1144.764444,510.8737783,6.653507467
57G1,25,1047.961474,2478.097152,3.071631243,193889.34,2539.686767,609.1723115,1338.197007,2.66755028,28833.82176,473.3562619,371090.9051,1790771.229,7.115824494,354.1073926,722.6396379,2.316627203
57G1,30,1154.004119,2894.684102,3.585476267,193465.1466,2550.019769,686.9795112,1519.038113,6.804134795,29592.97007,559.9037342,471940.8488,2307476.789,46.29625031,408.9594146,797.1428686,12.91216197
57G1,40,1495.319427,4078.878213,3.459513325,192758.8302,2663.276022,804.9422627,1658.086188,3.093568748,28350.78755,590.4652709,647932.0463,2749249.807,9.570167599,433.3067803,674.0210575,2.766333498
57G1,50,1894.411959,5408.750515,3.338913584,194165.6016,2627.406598,1006.623955,2472.074429,1.96112097,30324.50019,1272.976219,1013291.786,6111151.98,3.845995458,534.8846017,1129.863905,1.15187032
57G1,60,2246.73725,6566.572011,3.36763268,194131.3488,2572.128111,1201.785282,3132.846172,1.929992823,29624.40312,616.8520002,1444287.865,9814725.138,3.724872297,642.8379041,1494.649738,1.106080339
57G1,70,2477.435014,7317.931939,3.34547875,194752.2886,2528.398524,1379.595876,3688.103323,1.599242783,30989.96237,685.6520308,1903284.78,13602106.12,2.557577478,768.248115,1858.736352,0.764487737
