Variant,Time,Mean_RFP,Mean_GFP,Mean_Ratio,Mean_SSC,Mean_FSC,sd_RFP,sd_GFP,sd_Ratio,sd_SSC,sd_FSC
wt3,40,1439.130219,3519.353877,2.89109093,182609.9404,5581.802187,1170.356874,3848.982245,1.809437505,9784.315643,2142.358449
wt3,50,2089.982874,4259.638124,2.259548375,181904.4885,5416.751303,1086.543066,2580.472787,1.153354876,9765.977928,2063.996589
wt3,60,3204.333613,4897.046218,1.615645743,180492.4773,5027.089076,1328.916804,2273.860673,0.639427708,8571.525342,1948.001549
wt3,70,4553.281374,5390.793923,1.240868158,180716.3857,5059.533686,1813.787624,2445.173166,0.486675931,9580.595528,2114.908545
wt3,80,6639.690191,6162.486239,0.971894203,178943.458,4647.164432,2570.324247,2845.238594,0.42062482,9059.106436,2017.776919
wt3,90,8966.79619,6838.672381,0.794019663,180266.9105,5074.134286,3441.58503,3496.260909,0.352661571,10417.01865,2359.048283
wt3,100,11265.54726,7356.514871,0.677697413,179514.7125,5103.176471,4166.023923,4381.503823,0.406579592,10102.89037,2439.575647
wt3,110,14546.22055,7840.115986,0.553298275,178848,5093.49399,5526.115302,4034.779224,0.243574724,10598.95498,2304.766671
wt3,120,19332.65447,8442.33675,0.447991847,176685.7277,5209.528551,7269.643224,4065.276133,0.192713467,8958.435163,2723.271062
wt3,150,37280.80658,9018.084774,0.254001944,176610.0807,5097.160494,14777.64497,5549.780723,0.232524253,9169.618316,2516.967438
wt3,180,69007.44737,9217.276316,0.170019977,182926.4361,5323.030075,35578.39445,9736.895801,0.342878459,15115.56745,2399.887494
wt3,210,101080.3802,7101.28125,0.089886556,184618.6667,5646.619792,56643.39503,5255.627478,0.115668776,15120.93374,3864.755695
wt3,240,115979.5191,6163.839695,0.101020718,189432.1832,6187.267176,86057.68248,7684.794426,0.293960757,19597.65335,4576.534111
57C3,0,846.3313704,2325.518737,3.67434015,186317.5675,3976.569593,890.3431119,3258.04093,4.350543066,30248.04659,1463.188093
57C3,2,845.5561497,2233.027273,3.523038043,188218.8663,3665.594652,1083.077738,3895.734654,4.421249997,30842.54331,1335.217497
57C3,5,770.3686131,1970.413452,3.656542141,188843.1116,3611.685089,731.9725119,2576.752602,5.626278928,30464.22899,1293.33881
57C3,10,763.8069459,1929.693565,3.580963945,189869.8917,3591.013279,956.6466073,3374.266744,4.655551764,31746.96982,1249.960491
57C3,15,755.0223124,1942.089757,3.601078791,189556.3164,3488.295132,932.8529327,3532.966168,4.525099674,31028.70169,1070.105734
57C3,20,738.5128983,1831.234699,3.563167171,188936.0283,3588.497724,724.1053372,2448.385905,4.808069396,28793.91205,1115.25886
57C3,25,792.9662028,2090.401093,3.747912748,189055.2366,3633.766402,727.2561137,2556.980304,5.268466626,29564.20183,1100.033418
